,Model,Parameters,mean_train_score,std_train_score,mean_test_score,std_test_score
82,Histogram-Based Gradient Boosting,"hbgb__learning_rate: 0.01, hbgb__max_leaf_nodes: 10, hbgb__l2_regularization: 1",0.7297166651529031,0.0011475258641554162,0.7238521079211363,0.002587550900483003
83,Histogram-Based Gradient Boosting,"hbgb__learning_rate: 1.0, hbgb__max_leaf_nodes: 50, hbgb__l2_regularization: 10",0.8151204806675532,0.0037734217342802905,0.7237754099777606,0.003938213892543857
84,Histogram-Based Gradient Boosting,"hbgb__learning_rate: 0.01, hbgb__max_leaf_nodes: 10, hbgb__l2_regularization: 100",0.7282987109136739,0.0007790962302792869,0.7230219348092101,0.0030186206159006027
85,Histogram-Based Gradient Boosting,"hbgb__learning_rate: 1.0, hbgb__max_leaf_nodes: 31, hbgb__l2_regularization: 1",0.7802175252667839,0.01299771765264296,0.7223743422016998,0.001670796025656334
86,Histogram-Based Gradient Boosting,"hbgb__learning_rate: 1.0, hbgb__max_leaf_nodes: 31, hbgb__l2_regularization: 0",0.7660525132144125,0.01033136019874271,0.7221373219432522,0.0025346634873201746
87,Histogram-Based Gradient Boosting,"hbgb__learning_rate: 0.5, hbgb__max_leaf_nodes: 100, hbgb__l2_regularization: 0",0.8493984989034941,0.0025045967996075885,0.7200614651656211,0.0017030658756155158
88,Histogram-Based Gradient Boosting,"hbgb__learning_rate: 1.0, hbgb__max_leaf_nodes: 50, hbgb__l2_regularization: 5",0.8115013592488062,0.0007106076916471034,0.7183353849296084,0.0025141011474682532
89,Histogram-Based Gradient Boosting,"hbgb__learning_rate: 0.01, hbgb__max_leaf_nodes: 5, hbgb__l2_regularization: 1",0.7201375683379067,0.0008589491629022447,0.7166212763045428,0.0023553049316696354
90,Histogram-Based Gradient Boosting,"hbgb__learning_rate: 0.01, hbgb__max_leaf_nodes: 5, hbgb__l2_regularization: 10",0.7199020005002851,0.0005184964552657651,0.7165059055856086,0.0025555621148667033
91,Histogram-Based Gradient Boosting,"hbgb__learning_rate: 0.01, hbgb__max_leaf_nodes: 5, hbgb__l2_regularization: 5",0.71988760349137,0.0007278143965566524,0.7164805695635041,0.002270253544880438
92,Histogram-Based Gradient Boosting,"hbgb__learning_rate: 0.01, hbgb__max_leaf_nodes: 5, hbgb__l2_regularization: 0",0.7199750477572353,0.0005043104319930087,0.7164804015299081,0.002515638082070563
93,Histogram-Based Gradient Boosting,"hbgb__learning_rate: 0.01, hbgb__max_leaf_nodes: 5, hbgb__l2_regularization: 100",0.7180545612611081,0.00028678503279425913,0.7145573248637387,0.0024247292993608096
94,Histogram-Based Gradient Boosting,"hbgb__learning_rate: 1.0, hbgb__max_leaf_nodes: 50, hbgb__l2_regularization: 0",0.7750934333850452,0.004156959654888115,0.7144434184375696,0.002651741613813828
95,Histogram-Based Gradient Boosting,"hbgb__learning_rate: 1.0, hbgb__max_leaf_nodes: 50, hbgb__l2_regularization: 1",0.794847243621979,0.0030789287916965194,0.7120006670871138,0.0038765933293403304
96,Histogram-Based Gradient Boosting,"hbgb__learning_rate: 1.0, hbgb__max_leaf_nodes: 100, hbgb__l2_regularization: 10",0.8475491206244593,0.0018092434635744161,0.7052793352509118,0.0009774421960538071
97,Histogram-Based Gradient Boosting,"hbgb__learning_rate: 1.0, hbgb__max_leaf_nodes: 100, hbgb__l2_regularization: 5",0.8480439529505598,0.0035854560443891177,0.7012037654412646,0.0019308481435068173
98,Histogram-Based Gradient Boosting,"hbgb__learning_rate: 1.0, hbgb__max_leaf_nodes: 100, hbgb__l2_regularization: 0",0.7867990391918304,0.0036328460868874533,0.6946522357285331,0.002797588188341495
99,Histogram-Based Gradient Boosting,"hbgb__learning_rate: 1.0, hbgb__max_leaf_nodes: 100, hbgb__l2_regularization: 1",0.8223092055176623,0.008435574885860712,0.6868297374686514,0.004838727057307489
0,Bagging,"bag__estimator: LogisticRegression(C=10.0, max_iter=1000, random_state=42), bag__n_estimators: 5",0.6298414006659357,0.0013208533374441636,0.6293270226928265,0.0025564445282231507
0,Voting,vote__voting: soft,0.6297734918711316,0.0012980838509248503,0.6292749782003023,0.0027204203994533644
1,Bagging,"bag__estimator: LogisticRegression(C=10.0, max_iter=1000, random_state=42), bag__n_estimators: 10",0.6298626052533222,0.0012307228006894755,0.6292669449419909,0.0027636156204970588
2,Bagging,"bag__estimator: LogisticRegression(C=10.0, max_iter=1000, random_state=42), bag__n_estimators: 25",0.6298304769166675,0.0013837692367666308,0.6292377582369526,0.0024930336650639275
